0 ['Run', 'Drop', 'SwitchOff', 'Unwrap', 'Climb', 'TurnTo', 'Pour', 'Find', 'PutBack', 'Walk']
37 ['SwitchOff', 'Shake', 'Scrub', 'Open', 'Pour', 'TurnTo', 'LookAt', 'Walk', 'Find', 'PutBack']
38 ['Pull', 'Crawl', 'Scrub', 'Walk', 'Pour', 'PointAt', 'LookAt', 'PutBack', 'Grab', 'Find']
39 ['PointAt', 'Read', 'PutIn', 'Walk', 'TurnTo', 'LookAt', 'PutObjBack', 'Grab', 'Find', 'PutBack']
40 ['PointAt', 'Open', 'Pour', 'Wipe', 'LookAt', 'Wash', 'Walk', 'Find', 'Grab', 'PutBack']
41 ['Pull', 'Type', 'Drop', 'PutOff', 'Open', 'TurnTo', 'Grab', 'PutBack', 'Find', 'Walk']
42 ['Find', 'Rinse', 'Grab', 'PointAt', 'Wipe', 'Squeeze', 'Drop', 'Walk', 'TurnTo', 'PutBack']
43 ['Grab', 'Find', 'LookAt', 'Touch', 'Rinse', 'TurnTo', 'PutObjBack', 'Squeeze', 'Walk', 'PutBack']
44 ['Touch', 'SwitchOff', 'Grab', 'Find', 'Wash', 'Close', 'TurnTo', 'PutBack', 'Walk']
45 ['PointAt', 'SwitchOff', 'Rinse', 'Drop', 'TurnTo', 'Pour', 'LookAt', 'Grab', 'PutBack', 'Find']
46 ['Scrub', 'Open', 'Wipe', 'Drop', 'Stir', 'Find', 'Write', 'TurnTo', 'Walk', 'PutBack']
47 ['Lie', 'LookAt', 'Cut', 'Pour', 'SwitchOn', 'Walk', 'Grab', 'TurnTo', 'Find', 'PutBack']
48 ['Wash', 'TurnTo', 'LookAt', 'PointAt', 'PutObjBack', 'Wipe', 'Grab', 'Find', 'Walk', 'PutBack']
49 ['Squeeze', 'Wash', 'PointAt', 'Watch', 'Find', 'PutBack', 'Touch', 'Walk', 'Grab']
50 ['Break', 'PutObjBack', 'Wash', 'Push', 'TurnTo', 'Pour', 'Walk', 'Find', 'PutBack', 'Grab']
51 ['Scrub', 'SwitchOff', 'Pour', 'Eat', 'PointAt', 'PutObjBack', 'Find', 'Walk', 'PutBack', 'Grab']
52 ['LookAt', 'Sleep', 'PutIn', 'Wipe', 'Cut', 'Find', 'Push', 'PutObjBack', 'Walk', 'PutBack']
53 ['Touch', 'PutIn', 'Run', 'Greet', 'Walk', 'PutObjBack', 'PlugIn', 'Find', 'PutBack', 'Grab']
54 ['LookAt', 'PutObjBack', 'Pull', 'Soak', 'Grab', 'Wipe', 'PlugOut', 'Find', 'PutBack', 'Walk']
55 ['Grab', 'Pour', 'Push', 'PutOff', 'Close', 'PutBack', 'PlugIn', 'PutIn', 'SwitchOff', 'PutObjBack']
56 ['Wrap', 'PutOn', 'Rinse', 'LookAt', 'Find', 'TurnTo', 'PutObjBack', 'Soak', 'Walk', 'PutBack']
57 ['Sing', 'Touch', 'Squeeze', 'PlugOut', 'Rinse', 'PutIn', 'Grab', 'Walk', 'Find', 'PutBack']
58 ['Push', 'Walk', 'Touch', 'PointAt', 'PutObjBack', 'Pour', 'Grab', 'LookAt', 'Find', 'PutBack']
59 ['PutIn', 'Walk', 'PutObjBack', 'Push', 'Scrub', 'Touch', 'TurnTo', 'PointAt', 'Grab', 'PutBack']
60 ['Wash', 'Squeeze', 'Walk', 'Wipe', 'PutObjBack', 'TurnTo', 'Grab', 'LookAt', 'Find', 'PutBack']
61 ['PutIn', 'Find', 'Vacuum', 'Drop', 'SwitchOff', 'Touch', 'TurnTo', 'Grab', 'PutBack', 'PutObjBack']
62 ['Rinse', 'Scrub', 'PutIn', 'TurnTo', 'Drop', 'PointAt', 'Grab', 'Find', 'Walk', 'PutBack']
63 ['Touch', 'LookAt', 'Wipe', 'Walk', 'Shake', 'PutObjBack', 'PutBack', 'TurnTo', 'Pour', 'Grab']
64 ['LookAt', 'Push', 'PlugIn', 'SwitchOn', 'Cover', 'TurnTo', 'Grab', 'Walk', 'Find', 'PutBack']
65 ['PutIn', 'TurnTo', 'Wipe', 'Drop', 'Pull', 'Pour', 'Rinse', 'Find', 'PutBack', 'Grab']
66 ['TurnTo', 'Call', 'Crawl', 'Wipe', 'Pull', 'Find', 'PutObjBack', 'Grab', 'Walk', 'PutBack']
67 ['Push', 'Wash', 'PointAt', 'Walk', 'TurnTo', 'Wipe', 'Find', 'PutObjBack', 'Pour', 'PutBack']
68 ['Scrub', 'Fold', 'Open', 'LookAt', 'SwitchOn', 'Walk', 'PointAt', 'Find', 'PutBack']
69 ['TurnTo', 'Crawl', 'PutIn', 'Walk', 'Pour', 'LookAt', 'Find', 'Grab', 'PutObjBack', 'PutBack']
70 ['Close', 'Scrub', 'Walk', 'Pour', 'PutObjBack', 'Rinse', 'TurnTo', 'PutBack', 'Grab', 'Find']
